source,target,weight
23dasilva,a2guapo,549
23dasilva,amrainbowbee,518
23dasilva,charlthemisfit,611
23dasilva,dasunnyd,623
23dasilva,dyoti,617
23dasilva,ironmonkey,685
23dasilva,jfourmess,878
23dasilva,jjfried,678
23dasilva,kalcyon,507
23dasilva,kgugaming,724
23dasilva,letterjaye,608
23dasilva,lyndi,576
23dasilva,matteu,822
23dasilva,minervamaat,786
23dasilva,neloc_,583
23dasilva,nostroscythe,550
23dasilva,rudedog24,802
23dasilva,sharaadrick,511
23dasilva,shaynaah,925
23dasilva,shotz,617
23dasilva,tbnrkenworth,565
23dasilva,thasteeztrap,508
23dasilva,thelgx,701
23dasilva,trashedpotatopie,617
23dasilva,traumz,554
23dasilva,travpiper,754
23dasilva,vedstar,638
23dasilva,yoinksog,752
8bit_beni,a2guapo,1043
8bit_beni,africansnowball,871
8bit_beni,afro,649
8bit_beni,amrainbowbee,798
8bit_beni,angelina,691
8bit_beni,arsisplays,572
8bit_beni,asteroba,689
8bit_beni,bananabrea,650
8bit_beni,beetleballs,1017
8bit_beni,bergsbrew,551
8bit_beni,biotoxz_,664
8bit_beni,cazeytv,1121
8bit_beni,charlthemisfit,1135
8bit_beni,confuseddevil,575
8bit_beni,dasunnyd,938
8bit_beni,demonmungo98,536
8bit_beni,dyoti,1099
8bit_beni,garbage_brain,770
8bit_beni,halfwayhardcore,565
8bit_beni,iamnxera,920
8bit_beni,idksean,856
8bit_beni,ironmonkey,929
8bit_beni,itsdrp_,815
8bit_beni,javashorty,554
8bit_beni,jeimiru,832
8bit_beni,jennylouise1997,1005
8bit_beni,jfourmess,1551
8bit_beni,jjfried,770
8bit_beni,julian,811
8bit_beni,kalcyon,775
8bit_beni,kgugaming,1416
8bit_beni,khaosadam,595
8bit_beni,kingkontent,683
8bit_beni,letterjaye,1354
8bit_beni,liftedgn,1445
8bit_beni,lt_custard,577
8bit_beni,lyndi,968
8bit_beni,mateo2lit,533
8bit_beni,matteu,1237
8bit_beni,melodymaeee,561
8bit_beni,merald,865
8bit_beni,minervamaat,1283
8bit_beni,moxier4wr,1031
8bit_beni,neloc_,877
8bit_beni,nikez,690
8bit_beni,nostroscythe,1452
8bit_beni,ripoozi,515
8bit_beni,rudedog24,1130
8bit_beni,sciencegun,643
8bit_beni,sharaadrick,943
8bit_beni,shaynaah,1535
8bit_beni,shotz,706
8bit_beni,sonknuck,884
8bit_beni,spekcypher,868
8bit_beni,ssaab,551
8bit_beni,tbnrkenworth,691
8bit_beni,thasteeztrap,778
8bit_beni,thebigmeech,615
8bit_beni,thelgx,1434
8bit_beni,trashedpotatopie,1152
8bit_beni,traumz,706
8bit_beni,travpiper,1082
8bit_beni,vedstar,679
8bit_beni,wildflowerwonder,790
8bit_beni,yoinksog,870
8bit_beni,zaquelle,729
8bit_beni,zolo4real,622
a2guapo,adeptthebest,810
a2guapo,africansnowball,1440
a2guapo,afro,1459
a2guapo,amrainbowbee,1145
a2guapo,angelina,1516
a2guapo,arsisplays,796
a2guapo,asteroba,947
a2guapo,b_hoopla,591
a2guapo,bananabrea,5115
a2guapo,bazzagazza,860
a2guapo,beetleballs,1162
a2guapo,bergsbrew,825
a2guapo,biotoxz_,1530
a2guapo,cadenbruner,747
a2guapo,carmen,1410
a2guapo,cathie,1330
a2guapo,cazeytv,1926
a2guapo,charlthemisfit,1384
a2guapo,confuseddevil,682
a2guapo,crystalst,2200
a2guapo,darthbobo77,906
a2guapo,dasunnyd,1186
a2guapo,demonmungo98,537
a2guapo,digbytathamwarter,627
a2guapo,dyoti,1665
a2guapo,franktactics,657
a2guapo,halfwayhardcore,601
a2guapo,hogshund,643
a2guapo,iamnxera,1246
a2guapo,idksean,1788
a2guapo,ironmonkey,1440
a2guapo,javashorty,1399
a2guapo,jeimiru,1609
a2guapo,jennylouise1997,1834
a2guapo,jettskiiee,1489
a2guapo,jfourmess,2744
a2guapo,jjfried,4346
a2guapo,julian,2254
a2guapo,kalcyon,1388
a2guapo,kgugaming,4804
a2guapo,khaosadam,2979
a2guapo,kiinkii_panda,569
a2guapo,kingkontent,657
a2guapo,letterjaye,1974
a2guapo,liftedgn,1548
a2guapo,lt_custard,1586
a2guapo,lyndi,2281
a2guapo,madmoiselle,550
a2guapo,mateo2lit,633
a2guapo,matteu,5957
a2guapo,megatruong,585
a2guapo,melodymaeee,826
a2guapo,merald,2874
